Country Name;Country Code;2008;
Aruba;ABW;101362;
Africa Eastern and Southern;AFE;491173160;
Afghanistan;AFG;27722281;
Africa Western and Central;AFW;331772330;
Angola;AGO;21695636;
Albania;ALB;2947314;
Andorra;AND;83860;
Arab World;ARB;338395936;
United Arab Emirates;ARE;7089486;
Argentina;ARG;40080159;
Armenia;ARM;2907615;
American Samoa;ASM;57490;
Antigua and Barbuda;ATG;85394;
Australia;AUS;21249200;
Austria;AUT;8321496;
Azerbaijan;AZE;8763400;
Burundi;BDI;8126104;
Belgium;BEL;10709973;
Benin;BEN;8696915;
Burkina Faso;BFA;14689725;
Bangladesh;BGD;144304164;
Bulgaria;BGR;7492561;
Bahrain;BHR;1114645;
Bahamas, The;BHS;343680;
Bosnia and Herzegovina;BIH;3754261;
Belarus;BLR;9527985;
Belize;BLZ;306822;
Bermuda;BMU;65273;
Bolivia;BOL;9721457;
Brazil;BRA;192030362;
Barbados;BRB;279946;
Brunei Darussalam;BRN;379418;
Bhutan;BTN;671611;
Botswana;BWA;1915636;
Central African Republic;CAF;4273368;
Canada;CAN;33247118;
Central Europe and the Baltics;CEB;105001883;
Switzerland;CHE;7647675;
Channel Islands;CHI;156441;
Chile;CHL;16708255;
China;CHN;1324655000;
Cote d'Ivoire;CIV;19605568;
Cameroon;CMR;19252674;
Congo, Dem. Rep.;COD;60411195;
Congo, Rep.;COG;4011487;
Colombia;COL;44254972;
Comoros;COM;657227;
Cabo Verde;CPV;480846;
Costa Rica;CRI;4463123;
Caribbean small states;CSS;6878973;
Cuba;CUB;11236975;
Curacao;CUW;145880;
Cayman Islands;CYM;53835;
Cyprus;CYP;1081568;
Czech Republic;CZE;10384603;
Germany;DEU;82110097;
Djibouti;DJI;816361;
Dominica;DMA;70829;
Denmark;DNK;5493621;
Dominican Republic;DOM;9458079;
Algeria;DZA;34730604;
East Asia & Pacific (excluding high income);EAP;1938057262;
Early-demographic dividend;EAR;2820636607;
East Asia & Pacific;EAS;2177119138;
Europe & Central Asia (excluding high income);ECA;394372190;
Europe & Central Asia;ECS;880911644;
Ecuador;ECU;14535740;
Egypt, Arab Rep.;EGY;79636081;
Euro area;EMU;334274725;
Eritrea;ERI;3062782;
Spain;ESP;45954106;
Estonia;EST;1337090;
Ethiopia;ETH;82916236;
European Union;EUU;439876674;
Fragile and conflict affected situations;FCS;700030438;
Finland;FIN;5313399;
Fiji;FJI;845356;
France;FRA;64374979;
Faroe Islands;FRO;47822;
Micronesia, Fed. Sts.;FSM;103549;
Gabon;GAB;1518538;
United Kingdom;GBR;61806995;
Georgia;GEO;3848449;
Ghana;GHA;23563832;
Gibraltar;GIB;33570;
Guinea;GIN;9738796;
Gambia, The;GMB;1689288;
Guinea-Bissau;GNB;1446936;
Equatorial Guinea;GNQ;860839;
Greece;GRC;11077841;
Grenada;GRD;105457;
Greenland;GRL;56328;
Guatemala;GTM;13739299;
Guam;GUM;159037;
Guyana;GUY;746815;
High income;HIC;1138167727;
Hong Kong SAR, China;HKG;6957800;
Honduras;HND;7980955;
Heavily indebted poor countries (HIPC);HPC;590590409;
Croatia;HRV;4309705;
Haiti;HTI;9646570;
Hungary;HUN;10038188;
IBRD only;IBD;4340107147;
IDA & IBRD total;IBT;5643683607;
IDA total;IDA;1303576460;
IDA blend;IDB;434469632;
Indonesia;IDN;235469755;
IDA only;IDX;869106828;
Isle of Man;IMN;83515;
India;IND;1200669762;
Not classified;INX;;
Ireland;IRL;4489544;
Iran, Islamic Rep.;IRN;72120608;
Iraq;IRQ;28385739;
Iceland;ISL;317414;
Israel;ISR;7308800;
Italy;ITA;58826731;
Jamaica;JAM;2781869;
Jordan;JOR;6556473;
Japan;JPN;128063000;
Kazakhstan;KAZ;15776938;
